Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary
17-09-1908,17:18:00,"Fort Myer, Virginia",Military - U.S. Army,F-AIKG,Demonstration,Wright Flyer III,SC1,1,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
09-07-1909,06:30:00,"Juvisy-sur-Orge, France",Military - U.S. Navy,7,Air show,Wright Byplane,L-48,77,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
07-12-1912,18:30:00,"Atlantic City, New Jersey",Private,599,Test flight,Dirigible,97,31,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
08-06-1913,10:30:00,"Victoria, British Columbia, Canada",Military - German Navy,6,Shuttle,Curtiss seaplane,61,20,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
09-09-1913,01:00:00,Over the North Sea,Military - German Navy,6,Venice  Taliedo,Zeppelin L-1 (airship),82,178,20,0,0,14,0,0,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
17-10-1913,15:20:00,"Near Johannisthal, Germany",Military - German Navy,4,Paris - Hounslow,Zeppelin L-2 (airship),32,HP-25,30,0,0,30,0,0,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
03-05-1915,01:00:00,"Tienen, Belgium",Military - German Navy,4,Washington - Newark,Zeppelin L-8 (airship),G-EAHG,57,41,0,0,21,0,0,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
09-03-1915,23:45:00,"Off Cuxhaven, Germany",Military - German Army,1,London - Paris,Zeppelin L-10 (airship),77,R-38,19,0,0,19,0,0,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
28-07-1916,23:45:00,"Near Jambol, Bulgeria",Military - German Navy,1,Warsaw - Prague - Strasbourg - Paris,Schutte-Lanz S-L-10 (airship),G-EAHF,160,20,0,0,20,0,0,0,"Crashed near the Black Sea, cause unknown."
24-09-1916,05:15:00,"Billericay, England",Military - German Navy,4,Geraldton - Derby,Zeppelin L-32 (airship),65,6116,22,0,0,22,0,0,0,Shot down by British aircraft crashing in flames.
10-01-1916,08:45:00,"Potters Bar, England",Military - German Army,6,Miami - Bimini,Zeppelin L-31 (airship),72,HP-43,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.
21-11-1916,07:00:00,"Mainz, Germany",Military - German Navy,14,Croydon - Le Bourget,Super Zeppelin (airship),49,4,28,0,0,27,0,0,0,Crashed in a storm.
28-11-1916,07:45:00,"Off West Hartlepool, England",Military - German Army,34,Test,Zeppelin L-34 (airship),44,555,20,0,0,20,0,0,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
